iter	Logloss
0	0.6827720908
1	0.6739822507
2	0.6662932219
3	0.659379338
4	0.6531729871
5	0.6480407003
6	0.6429274058
7	0.6378336491
8	0.6331003008
9	0.6288559705
10	0.625568767
11	0.6223895941
12	0.6194932136
13	0.6162113957
14	0.613122674
15	0.6108106058
16	0.607832481
17	0.6057322578
18	0.6035650128
19	0.6007982767
20	0.5988931026
21	0.5970400387
22	0.5943244162
23	0.5928304352
24	0.5904180922
25	0.5890905299
26	0.5877997833
27	0.586500915
28	0.5854399382
29	0.5844124417
30	0.5827041474
31	0.5799361271
32	0.5789629221
33	0.5777980727
34	0.5767641376
35	0.575857622
36	0.5750420104
37	0.5740308348
38	0.5734042233
39	0.5719467574
40	0.5709181583
41	0.5702217871
42	0.5694556074
43	0.5688185418
44	0.567990431
45	0.5674371383
46	0.5666801869
47	0.5659635937
48	0.5654368558
49	0.5642879751
50	0.5633356253
51	0.5625593792
52	0.5621484576
53	0.5617834675
54	0.5613864964
55	0.5609172441
56	0.5590745563
57	0.5585857394
58	0.5580866652
59	0.5575321418
60	0.5569274634
61	0.5563235336
62	0.5557851638
63	0.5529068496
64	0.552519244
65	0.5521354277
66	0.5511422131
67	0.5508592579
68	0.5491944097
69	0.5485101283
70	0.5473936627
71	0.546824165
72	0.5462884174
73	0.5459160463
74	0.545591466
75	0.5448971693
76	0.5445244612
77	0.5442969681
78	0.5430862363
79	0.5416669821
80	0.5413034372
81	0.5407010903
82	0.540469169
83	0.5402418322
84	0.5390288893
85	0.5383461008
86	0.5376560818
87	0.5373879462
88	0.5364019997
89	0.5361766169
90	0.5354398388
91	0.5348487344
92	0.5344543872
93	0.5338776117
94	0.5335348294
95	0.5332889456
96	0.5322916032
97	0.531901944
98	0.5316764839
99	0.5309224849
100	0.5307259092
101	0.5303391888
102	0.5289971461
103	0.5288486741
104	0.5285930963
105	0.528369236
106	0.5281290054
107	0.527875818
108	0.5276947296
109	0.5267711485
110	0.5266081775
111	0.5255671042
112	0.5254234911
113	0.5249823392
114	0.5248581274
115	0.5246885878
116	0.523601924
117	0.5232947031
118	0.5230883354
119	0.5229622147
120	0.522350611
121	0.5215322684
122	0.5207713488
123	0.5200277927
124	0.5194402128
125	0.5187819232
126	0.5186046081
127	0.518310396
128	0.5175538817
129	0.5170245404
130	0.5167062267
131	0.5164387032
132	0.516256815
133	0.5157319348
134	0.5150517421
135	0.5149183638
136	0.5146478963
137	0.5141291344
138	0.5137558484
139	0.5135109268
140	0.5124110426
141	0.5117914653
142	0.5111728276
143	0.5110074792
144	0.5099675171
145	0.5098021285
146	0.5087837912
147	0.5084549402
148	0.5072759061
149	0.5066514609
150	0.5065604903
151	0.5064369238
152	0.5062440971
153	0.5055546535
154	0.5050808164
155	0.504292139
156	0.5037939951
157	0.5034868199
158	0.5032520836
159	0.5029083113
160	0.5025296821
161	0.5023720892
162	0.5021674121
163	0.5020593362
164	0.501912916
165	0.5014900162
166	0.5013117299
167	0.5006762964
168	0.5000306131
169	0.4996038012
170	0.4991799383
171	0.4990170489
172	0.49879999
173	0.4984023596
174	0.4981330299
175	0.4980160585
176	0.4972876921
177	0.4970095235
178	0.4968671185
179	0.4967824066
180	0.4964592156
181	0.4961598453
182	0.4960018284
183	0.495213503
184	0.4950894299
185	0.494861208
186	0.4937010396
187	0.4934582549
188	0.4933333975
189	0.4931631832
190	0.4929620264
